subject,session,level,completed,game_over,n_frames,duration_s,max_x,score,final_lives,bk2,error
sub-01,ses-001,Level1-1,True,False,4174,69.56666666666666,3161,80,0,sub-01_ses-001_task-mario_level-w1l1_rep-000.bk2,
sub-01,ses-001,Level1-1,False,True,2454,40.9,2022,20,-1,sub-01_ses-001_task-mario_level-w1l1_rep-001.bk2,
sub-01,ses-001,Level1-1,False,True,2225,37.083333333333336,1960,30,-1,sub-01_ses-001_task-mario_level-w1l1_rep-002.bk2,
sub-01,ses-001,Level1-1,False,False,2436,40.6,2761,60,1,sub-01_ses-001_task-mario_level-w1l1_rep-003.bk2,
sub-01,ses-001,Level1-1,False,True,2943,49.05,1803,270,-1,sub-01_ses-001_task-mario_level-w1l1_rep-004.bk2,
sub-01,ses-001,Level1-1,False,False,2625,43.75,1559,60,0,sub-01_ses-001_task-mario_level-w1l1_rep-005.bk2,
sub-01,ses-001,Level1-1,False,False,3529,58.81666666666667,2757,80,0,sub-01_ses-001_task-mario_level-w1l1_rep-006.bk2,
sub-01,ses-001,Level1-1,True,False,1773,29.55,3161,90,2,sub-01_ses-001_task-mario_level-w1l1_rep-007.bk2,
sub-01,ses-001,Level1-1,False,False,3306,55.1,2979,325,2,sub-01_ses-001_task-mario_level-w1l1_rep-008.bk2,
sub-01,ses-001,Level1-1,False,False,2508,41.8,1790,120,0,sub-01_ses-001_task-mario_level-w1l1_rep-009.bk2,
sub-01,ses-001,Level1-1,False,False,2541,42.35,2130,70,1,sub-01_ses-001_task-mario_level-w1l1_rep-010.bk2,
sub-01,ses-007,Level1-1,False,True,2178,36.3,1559,50,-1,sub-01_ses-007_task-mario_level-w1l1_rep-000.bk2,
sub-01,ses-007,Level1-1,False,True,3990,66.5,1538,170,-1,sub-01_ses-007_task-mario_level-w1l1_rep-001.bk2,
sub-01,ses-007,Level1-1,False,True,2701,45.016666666666666,1563,50,-1,sub-01_ses-007_task-mario_level-w1l1_rep-002.bk2,
sub-01,ses-008,Level1-1,True,False,4500,75.0,3161,130,0,sub-01_ses-008_task-mario_level-w1l1_rep-000.bk2,
sub-01,ses-008,Level1-1,True,False,3173,52.88333333333333,3161,20,1,sub-01_ses-008_task-mario_level-w1l1_rep-001.bk2,
sub-01,ses-009,Level1-1,False,False,2583,43.05,864,20,0,sub-01_ses-009_task-mario_level-w1l1_rep-000.bk2,
sub-01,ses-010,Level1-1,False,True,2386,39.766666666666666,1875,20,-1,sub-01_ses-010_task-mario_level-w1l1_rep-000.bk2,
sub-01,ses-010,Level1-1,False,False,3297,54.95,3154,0,1,sub-01_ses-010_task-mario_level-w1l1_rep-001.bk2,
sub-01,ses-011,Level1-1,False,True,2566,42.766666666666666,1948,110,-1,sub-01_ses-011_task-mario_level-w1l1_rep-000.bk2,
sub-01,ses-011,Level1-1,False,False,2205,36.75,2584,10,1,sub-01_ses-011_task-mario_level-w1l1_rep-001.bk2,
sub-01,ses-012,Level1-1,False,False,3381,56.35,2602,60,1,sub-01_ses-012_task-mario_level-w1l1_rep-000.bk2,
sub-01,ses-013,Level1-1,False,False,2268,37.8,2020,20,0,sub-01_ses-013_task-mario_level-w1l1_rep-000.bk2,
sub-01,ses-014,Level1-1,True,False,1855,30.916666666666668,3161,30,2,sub-01_ses-014_task-mario_level-w1l1_rep-000.bk2,
sub-01,ses-014,Level1-1,False,False,2331,38.85,700,0,0,sub-01_ses-014_task-mario_level-w1l1_rep-001.bk2,
sub-01,ses-014,Level1-1,False,False,2247,37.45,724,10,0,sub-01_ses-014_task-mario_level-w1l1_rep-002.bk2,
sub-01,ses-015,Level1-1,True,False,1889,31.483333333333334,3161,10,2,sub-01_ses-015_task-mario_level-w1l1_rep-000.bk2,
sub-01,ses-016,Level1-1,False,False,2478,41.3,2588,80,1,sub-01_ses-016_task-mario_level-w1l1_rep-000.bk2,
sub-01,ses-016,Level1-1,True,False,1943,32.38333333333333,3161,0,2,sub-01_ses-016_task-mario_level-w1l1_rep-001.bk2,
sub-01,ses-017,Level1-1,True,False,1614,26.9,3161,0,2,sub-01_ses-017_task-mario_level-w1l1_rep-000.bk2,
sub-01,ses-017,Level1-1,True,False,1842,30.7,3161,10,2,sub-01_ses-017_task-mario_level-w1l1_rep-001.bk2,
sub-01,ses-018,Level1-1,True,False,2102,35.03333333333333,3161,30,2,sub-01_ses-018_task-mario_level-w1l1_rep-000.bk2,
sub-01,ses-018,Level1-1,True,False,3026,50.43333333333333,3161,40,0,sub-01_ses-018_task-mario_level-w1l1_rep-001.bk2,
sub-01,ses-020,Level1-1,True,False,3389,56.483333333333334,3161,10,1,sub-01_ses-020_task-mario_level-w1l1_rep-000.bk2,
sub-01,ses-020,Level1-1,False,False,2436,40.6,1630,10,0,sub-01_ses-020_task-mario_level-w1l1_rep-001.bk2,
sub-01,ses-021,Level1-1,False,False,2667,44.45,1929,40,0,sub-01_ses-021_task-mario_level-w1l1_rep-000.bk2,
sub-01,ses-021,Level1-1,True,False,1873,31.216666666666665,3161,10,2,sub-01_ses-021_task-mario_level-w1l1_rep-001.bk2,
sub-02,ses-001,Level1-1,True,False,4501,75.01666666666667,3161,130,1,sub-02_ses-001_task-mario_level-w1l1_rep-000.bk2,
sub-02,ses-001,Level1-1,False,False,3357,55.95,1227,20,0,sub-02_ses-001_task-mario_level-w1l1_rep-001.bk2,
sub-02,ses-001,Level1-1,True,False,2873,47.88333333333333,3161,130,2,sub-02_ses-001_task-mario_level-w1l1_rep-002.bk2,
sub-02,ses-001,Level1-1,True,False,2476,41.266666666666666,3161,0,2,sub-02_ses-001_task-mario_level-w1l1_rep-003.bk2,
sub-02,ses-001,Level1-1,True,False,3810,63.5,3161,50,1,sub-02_ses-001_task-mario_level-w1l1_rep-004.bk2,
sub-02,ses-001,Level1-1,True,False,2694,44.9,3161,30,2,sub-02_ses-001_task-mario_level-w1l1_rep-005.bk2,
sub-02,ses-001,Level1-1,True,False,3923,65.38333333333334,3161,20,1,sub-02_ses-001_task-mario_level-w1l1_rep-006.bk2,
sub-02,ses-007,Level1-1,False,True,2369,39.483333333333334,2024,70,-1,sub-02_ses-007_task-mario_level-w1l1_rep-000.bk2,
sub-02,ses-008,Level1-1,False,False,3608,60.13333333333333,2592,180,1,sub-02_ses-008_task-mario_level-w1l1_rep-000.bk2,
sub-02,ses-008,Level1-1,False,True,3597,59.95,2587,30,-1,sub-02_ses-008_task-mario_level-w1l1_rep-001.bk2,
sub-02,ses-009,Level1-1,True,False,3101,51.68333333333333,3161,160,2,sub-02_ses-009_task-mario_level-w1l1_rep-000.bk2,
sub-02,ses-010,Level1-1,True,False,2604,43.4,3161,0,2,sub-02_ses-010_task-mario_level-w1l1_rep-000.bk2,
sub-02,ses-011,Level1-1,False,True,1801,30.016666666666666,672,30,-1,sub-02_ses-011_task-mario_level-w1l1_rep-000.bk2,
sub-02,ses-011,Level1-1,False,False,2936,48.93333333333333,1056,80,1,sub-02_ses-011_task-mario_level-w1l1_rep-001.bk2,
sub-02,ses-012,Level1-1,False,True,2000,33.333333333333336,1563,30,-1,sub-02_ses-012_task-mario_level-w1l1_rep-000.bk2,
sub-02,ses-013,Level1-1,True,False,3529,58.81666666666667,3161,615,2,sub-02_ses-013_task-mario_level-w1l1_rep-000.bk2,
sub-02,ses-013,Level1-1,False,False,4986,83.1,1997,380,0,sub-02_ses-013_task-mario_level-w1l1_rep-001.bk2,
sub-02,ses-014,Level1-1,False,True,4019,66.98333333333333,1564,310,-1,sub-02_ses-014_task-mario_level-w1l1_rep-000.bk2,
sub-02,ses-015,Level1-1,False,False,6002,100.03333333333333,2593,580,1,sub-02_ses-015_task-mario_level-w1l1_rep-000.bk2,
sub-02,ses-015,Level1-1,False,False,4217,70.28333333333333,1785,180,0,sub-02_ses-015_task-mario_level-w1l1_rep-001.bk2,
sub-02,ses-016,Level1-1,True,False,4854,80.9,3161,660,2,sub-02_ses-016_task-mario_level-w1l1_rep-000.bk2,
sub-02,ses-017,Level1-1,False,True,3782,63.03333333333333,1555,20,-1,sub-02_ses-017_task-mario_level-w1l1_rep-000.bk2,
sub-02,ses-018,Level1-1,False,True,3856,64.26666666666667,1267,50,-1,sub-02_ses-018_task-mario_level-w1l1_rep-000.bk2,
sub-02,ses-019,Level1-1,True,False,3753,62.55,3161,480,2,sub-02_ses-019_task-mario_level-w1l1_rep-000.bk2,
sub-02,ses-019,Level1-1,False,False,5666,94.43333333333334,2714,495,0,sub-02_ses-019_task-mario_level-w1l1_rep-001.bk2,
sub-02,ses-020,Level1-1,False,False,5309,88.48333333333333,2594,385,1,sub-02_ses-020_task-mario_level-w1l1_rep-000.bk2,
sub-02,ses-021,Level1-1,True,False,4419,73.65,3161,545,2,sub-02_ses-021_task-mario_level-w1l1_rep-001.bk2,
sub-02,ses-022,Level1-1,False,False,4301,71.68333333333334,3156,490,2,sub-02_ses-022_task-mario_level-w1l1_rep-000.bk2,
sub-02,ses-023,Level1-1,False,False,5120,85.33333333333333,2587,515,1,sub-02_ses-023_task-mario_level-w1l1_rep-000.bk2,
sub-03,ses-001,Level1-1,True,False,6176,102.93333333333334,3161,425,2,sub-03_ses-001_task-mario_level-w1l1_rep-000.bk2,
sub-03,ses-001,Level1-1,False,True,4228,70.46666666666667,1738,315,-1,sub-03_ses-001_task-mario_level-w1l1_rep-001.bk2,
sub-03,ses-001,Level1-1,False,True,5337,88.95,1656,245,-1,sub-03_ses-001_task-mario_level-w1l1_rep-002.bk2,
sub-03,ses-001,Level1-1,False,True,4289,71.48333333333333,1265,150,-1,sub-03_ses-001_task-mario_level-w1l1_rep-003.bk2,
sub-03,ses-001,Level1-1,True,False,4709,78.48333333333333,3161,565,1,sub-03_ses-001_task-mario_level-w1l1_rep-004.bk2,
sub-03,ses-001,Level1-1,False,True,3529,58.81666666666667,1560,160,-1,sub-03_ses-001_task-mario_level-w1l1_rep-005.bk2,
sub-03,ses-010,Level1-1,True,False,3299,54.983333333333334,3161,510,2,sub-03_ses-010_task-mario_level-w1l1_rep-000.bk2,
sub-03,ses-013,Level1-1,True,False,2586,43.1,3161,485,2,sub-03_ses-013_task-mario_level-w1l1_rep-000.bk2,
sub-03,ses-013,Level1-1,False,True,3460,57.666666666666664,1267,185,-1,sub-03_ses-013_task-mario_level-w1l1_rep-001.bk2,
sub-03,ses-014,Level1-1,False,False,4135,68.91666666666667,1564,170,0,sub-03_ses-014_task-mario_level-w1l1_rep-000.bk2,
sub-03,ses-015,Level1-1,True,False,3067,51.11666666666667,3161,495,2,sub-03_ses-015_task-mario_level-w1l1_rep-000.bk2,
sub-03,ses-016,Level1-1,False,True,3100,51.666666666666664,822,60,-1,sub-03_ses-016_task-mario_level-w1l1_rep-000.bk2,
sub-03,ses-018,Level1-1,True,False,4017,66.95,3161,465,2,sub-03_ses-018_task-mario_level-w1l1_rep-000.bk2,
sub-03,ses-019,Level1-1,False,False,5813,96.88333333333334,1264,270,0,sub-03_ses-019_task-mario_level-w1l1_rep-000.bk2,
sub-03,ses-019,Level1-1,False,False,5372,89.53333333333333,2597,535,1,sub-03_ses-019_task-mario_level-w1l1_rep-001.bk2,
sub-03,ses-021,Level1-1,True,False,5416,90.26666666666667,3161,870,2,sub-03_ses-021_task-mario_level-w1l1_rep-000.bk2,
sub-03,ses-021,Level1-1,False,False,6002,100.03333333333333,1643,220,1,sub-03_ses-021_task-mario_level-w1l1_rep-001.bk2,
sub-03,ses-022,Level1-1,False,True,3807,63.45,1772,340,-1,sub-03_ses-022_task-mario_level-w1l1_rep-000.bk2,
