level,h_clear,h_clear_sd,h_prog,h_prog_sd,h_score,h_score_sd,h_attempts,m_clear,m_prog,m_score
Level1-1,0.4280383642452608,0.09498515069008068,0.7612100008008112,0.03280256001499802,289.2126317298731,147.72376662348785,149,0.0,0.1372983233154065,0.0
Level1-2,0.07922222222222222,0.055218533299546145,0.42787774614221946,0.03548408014411673,423.1272222222222,154.95410467874066,136,0.0,0.10186649794368871,30.0
Level1-3,0.5172529821935595,0.14098516686632448,0.8345403214105716,0.06939388838130683,290.1681626868384,130.74587452331377,150,0.0,0.1694845360824742,0.0
Level2-1,0.3016714499892911,0.09624771707396622,0.601237962342653,0.12226147104087992,389.50198329406726,180.17281345289243,137,0.0,0.14664586583463338,0.0
Level2-2,,,,,,,0,0.0,,0.0
Level2-3,0.11787008864848622,0.08067099091035514,0.49872061167236553,0.07631987976902739,216.86661347272812,61.149518784076534,153,0.0,0.04063456721402728,0.0
Level3-1,0.3096229260935143,0.19508893850616124,0.6622166092966373,0.08528011594800503,570.1260256410256,347.74773863596863,139,0.0,0.18603194487942373,110.0
Level3-2,0.3212494912494912,0.10263658149315374,0.6777828003359918,0.07052209140440104,575.2977818477818,411.41847397524566,152,0.0,0.23074617920287682,0.0
Level3-3,0.39428571428571435,0.07247800510837614,0.760989358981924,0.0505208359822691,404.09047619047624,75.16794861419467,149,0.0,0.1916563403552251,0.0
Level4-1,0.40989417989417987,0.1062864854927676,0.6406178828026866,0.11173288299616557,299.22063492063495,156.728414714231,159,0.0,0.39855274144169217,0.0
Level4-2,0.05730049261083744,0.059706891623786625,0.49422261286162933,0.07073868287633352,403.1232110928663,179.3009945121172,141,0.0,0.10281556469471687,0.0
Level4-3,0.3660641998573034,0.15115816318866432,0.6373716689725806,0.10944734488598126,532.0097279545555,78.85297829570877,157,0.0,0.23198294243070364,0.0
